"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"864","HIST1H2AC",1.26322410409742,8.83999111813625,10.2242280351224,9.00431198521541e-24,5.31011209638278e-23,42.4971498289899
"865","CAPN13",1.38542748407576,7.96967515533082,10.2154690273205,9.79835541301124e-24,5.77068644137585e-23,42.4134645661288
"866","CAPN9",1.16053043803671,6.85082818517208,10.2140551693353,9.93287863875634e-24,5.8440749036941e-23,42.399962144879
"867","FBXL16",1.01997730862693,6.99664876317931,10.1737752038172,1.46384131054874e-23,8.55003217251156e-23,42.0159701169687
"868","EEF1A2",2.16749625408373,8.7922207916522,10.1564611810453,1.72867363915561e-23,1.00636346221547e-22,41.8513205624217
"869","C1R",-1.1197584460203,7.33485101146318,-10.0511247863503,4.72954236940673e-23,2.70876574952485e-22,40.8548890527816
"870","ERP27",1.33965217478601,8.06707123705496,10.0151076766597,6.65858479565727e-23,3.79883002245143e-22,40.5162680773516
"871","NFKBIZ",-1.32502384457637,9.56026396662535,-9.95194665274581,1.21005213205092e-22,6.84393412454512e-22,39.9250194274922
"872","ZG16B",1.32395804793296,8.31309951557734,9.91968879872414,1.63966120899083e-22,9.21189585203681e-22,39.6243197113047
"873","FBLN2",-1.09801269497335,9.1461175987697,-9.91535336248388,1.70789081177899e-22,9.5860859717941e-22,39.5839711449838
"874","RAMP1",1.06789858827919,6.90267070160922,9.90783051530829,1.83302227675777e-22,1.02656212750912e-21,39.5139950659588
"875","HIST2H2BE",1.11496500738186,8.28766191149134,9.86304771143367,2.78967192453649e-22,1.54907810541138e-21,39.0983993508424
"876","GBP5",1.04785433528974,6.8183565201119,9.83719157657218,3.5524923894127e-22,1.96526056925721e-21,38.8592013526865
"877","COL8A1",1.15163783627109,9.58897579310566,9.82802357647355,3.86990042666467e-22,2.13550885946931e-21,38.774519755343
"878","ASCL2",1.08614105404084,7.57556594548963,9.77948332796864,6.08110789428195e-22,3.32767556368412e-21,38.327328501395
"879","PLA2G16",-1.0192108675717,10.1575793658502,-9.66446404669928,1.76093582986264e-21,9.43754881422746e-21,37.2754737222429
"880","CNTNAP2",1.6220710427753,7.39218359118724,9.63479353103433,2.31257041110896e-21,1.2334173790975e-20,37.0059189301576
